,up,down,left,right
"(0,,)",-200.0,-200.8,-200.0,-200.0
"(0,,)",0.0,-1.0,0.0,-200.8
"(0,,)",-200.0,-1.0,-200.0,-201.44
"(0,,)",-201.44,-1.8,-200.0,-361.152
"(0,,)",-361.152,-201.44,-201.44,-202.68928
"(0,,)",-202.68928,-3.68928,-361.152,-202.3616
"(0,,)",-202.68928,-3.3616,-202.68928,-202.951424
"(0,,)",-202.951424,-3.68928,-202.68928,-362.151424
"(0,,)",-361.152,-202.951424,-202.951424,-202.68928
"(0,,)",-202.68928,-3.68928,-362.151424,-361.88928
"(0,,)",-361.88928,-202.3616,-202.68928,-202.3616
"(0,,)",-201.44,-2.952,-361.88928,-202.68928
"(0,,)",-202.68928,-3.3616,-202.3616,-202.3616
"(0,,)",-202.951424,-3.68928,-202.68928,-202.951424
"(0,,)",-202.68928,-3.68928,-202.3616,-202.68928
"(0,,)",-202.68928,-3.3616,-202.3616,-202.3616
"(0,,)",-202.3616,-2.952,-202.68928,-202.68928
"(0,,)",-202.68928,-3.3616,-202.3616,-202.951424
"(0,,)",-202.951424,-3.68928,-202.68928,-202.951424
"(0,,)",-202.951424,-3.68928,-202.951424,-202.68928
"(0,,)",-201.44,-3.3616,-202.68928,-202.3616
"(0,,)",-202.3616,-2.952,-201.952,-202.3616
"(0,,)",-202.68928,-3.68928,-202.3616,-202.3616
"(0,,)",-202.3616,-3.3616,-202.68928,-201.952
"(0,,)",-201.952,-2.44,-202.3616,-201.952
"(0,,)",-201.952,-2.44,-201.952,-361.5616
"(0,,)",-361.5616,-201.952,-201.952,-203.1611392
"(0,,)",-203.1611392,-3.951424,-361.5616,-202.951424
"(0,,)",-202.951424,-3.68928,-203.1611392,-202.68928
"(0,,)",-202.68928,-3.68928,-202.951424,-202.68928
"(0,,)",-202.68928,-3.3616,-202.951424,-202.3616
"(0,,)",-202.3616,-2.952,-202.68928,-361.88928
"(0,,)",-361.88928,-202.3616,-202.3616,-202.68928
"(0,,)",-202.68928,-3.3616,-361.88928,-202.951424
"(0,,)",-203.1611392,-3.951424,-202.68928,-202.951424
"(0,,)",-202.951424,-3.68928,-203.1611392,-362.3611392
"(0,,)",-362.3611392,-202.951424,-202.951424,-203.1611392
"(0,,)",-203.1611392,-3.951424,-362.3611392,-202.68928
"(0,,)",-203.1611392,-3.951424,-203.1611392,-202.951424
"(0,,)",-202.951424,-3.68928,-202.68928,-362.3611392
"(0,,)",-362.3611392,-202.951424,-202.951424,-362.3611392
"(1,,)",-360.0,-201.44,-200.8,-1.0
"(1,,)",-200.0,-1.8,-200.8,-1.0
"(1,,)",-200.8,-200.8,-1.0,-1.8
"(1,,)",-201.44,-201.44,-1.0,-201.44
"(1,,)",-361.152,-201.952,-1.8,-3.68928
"(1,,)",-202.68928,-201.44,-201.44,-3.3616
"(1,,)",-202.68928,-201.952,-3.68928,-3.68928
"(1,,)",-202.951424,-3.3616,-3.3616,-202.951424
"(1,,)",-360.64,-201.952,-3.68928,-3.68928
"(1,,)",-202.68928,-3.3616,-202.3616,-202.951424
"(1,,)",-361.88928,-201.952,-3.68928,-3.68928
"(1,,)",-202.3616,-3.951424,-202.68928,-3.3616
"(1,,)",-202.68928,-201.952,-2.952,-3.68928
"(1,,)",-202.951424,-202.951424,-3.3616,-3.68928
"(1,,)",-202.68928,-202.951424,-3.68928,-3.3616
"(1,,)",-202.68928,-202.68928,-3.68928,-2.952
"(1,,)",-202.3616,-202.3616,-3.3616,-3.3616
"(1,,)",-202.68928,-202.68928,-2.952,-3.68928
"(1,,)",-202.951424,-202.951424,-3.3616,-3.68928
"(1,,)",-202.951424,-202.951424,-3.68928,-3.3616
"(1,,)",-202.68928,-202.68928,-3.68928,-2.952
"(1,,)",-202.3616,-202.68928,-2.952,-3.3616
"(1,,)",-202.68928,-202.3616,-3.3616,-3.3616
"(1,,)",-202.3616,-202.68928,-3.68928,-2.952
"(1,,)",-201.952,-201.44,-3.3616,-2.44
"(1,,)",-201.952,-2.952,-1.8,-201.952
"(1,,)",-361.5616,-201.44,-2.44,-3.951424
"(1,,)",-203.1611392,-202.3616,-201.952,-3.68928
"(1,,)",-202.951424,-201.44,-3.3616,-3.68928
"(1,,)",-202.951424,-201.44,-3.68928,-3.3616
"(1,,)",-202.68928,-200.8,-3.68928,-2.952
"(1,,)",-202.3616,-2.44,-3.3616,-202.3616
"(1,,)",-361.88928,-201.952,-2.952,-4.1611392
"(1,,)",-202.68928,-201.44,-202.3616,-3.951424
"(1,,)",-203.1611392,-201.44,-3.951424,-3.68928
"(1,,)",-202.951424,-3.3616,-3.68928,-202.951424
"(1,,)",-362.3611392,-202.68928,-3.68928,-3.951424
"(1,,)",-203.1611392,-3.68928,-202.951424,-3.951424
"(1,,)",-203.1611392,-202.68928,-3.951424,-4.1611392
"(1,,)",-202.951424,-202.951424,-4.1611392,-203.463129088
"(1,,)",-362.3611392,-361.88928,-4.32891136,-203.463129088
"(2,,)",-200.8,-201.44,-201.44,-1.8
"(2,,)",-1.8,-1.8,-201.44,-200.8
"(2,,)",-1.0,-2.44,-1.8,-200.8
"(2,,)",-1.8,-1.8,-200.8,-201.952
"(2,,)",-201.44,-2.44,-201.44,-201.44
"(2,,)",-2.44,-1.8,-200.0,-200.8
"(2,,)",-3.3616,-2.44,-201.44,-3.3616
"(2,,)",-3.68928,-2.952,-201.952,-201.952
"(2,,)",-202.3616,-3.3616,-2.44,-3.3616
"(2,,)",-3.68928,-2.952,-201.952,-202.3616
"(2,,)",-202.68928,-201.952,-3.3616,-3.951424
"(2,,)",-3.68928,-3.68928,-202.3616,-201.952
"(2,,)",-3.3616,-3.68928,-3.951424,-202.951424
"(2,,)",-3.68928,-3.68928,-201.952,-202.951424
"(2,,)",-3.68928,-3.951424,-202.951424,-202.68928
"(2,,)",-3.3616,-3.68928,-202.951424,-202.3616
"(2,,)",-3.68928,-3.951424,-202.68928,-201.952
"(2,,)",-3.3616,-3.3616,-202.951424,-202.951424
"(2,,)",-3.68928,-3.951424,-202.68928,-202.951424
"(2,,)",-3.68928,-3.68928,-202.951424,-202.68928
"(2,,)",-3.3616,-202.68928,-202.951424,-202.68928
"(2,,)",-3.3616,-3.3616,-202.68928,-201.952
"(2,,)",-3.68928,-202.68928,-202.3616,-202.68928
"(2,,)",-3.3616,-3.3616,-202.3616,-201.44
"(2,,)",-2.44,-200.0,-202.3616,-1.8
"(2,,)",-2.44,-3.3616,-201.44,-200.0
"(2,,)",-201.952,-3.3616,-1.8,-202.3616
"(2,,)",-3.951424,-2.952,-201.44,-201.44
"(2,,)",-3.68928,-2.44,-201.44,-201.44
"(2,,)",-3.68928,-2.952,-201.44,-201.952
"(2,,)",-3.3616,-2.44,-201.44,-2.44
"(2,,)",-2.952,-2.952,-200.8,-201.952
"(2,,)",-202.3616,-2.44,-2.44,-201.952
"(2,,)",-3.951424,-2.44,-201.952,-201.44
"(2,,)",-3.68928,-1.8,-201.952,-3.3616
"(2,,)",-3.68928,-3.3616,-201.44,-202.68928
"(2,,)",-202.951424,-3.3616,-3.3616,-3.951424
"(2,,)",-3.951424,-3.68928,-202.68928,-202.951424
"(2,,)",-4.1611392,-3.68928,-3.951424,-202.951424
"(2,,)",-3.68928,-3.68928,-202.68928,-361.88928
"(2,,)",-202.951424,-202.68928,-202.951424,-360.64
"(3,,)",-201.44,-360.0,-201.44,-1.8
"(3,,)",-1.8,-200.0,-201.44,-2.44
"(3,,)",-200.8,-201.952,-1.8,-2.44
"(3,,)",-201.44,-2.952,-2.44,-2.44
"(3,,)",-201.952,-201.952,-2.44,-2.952
"(3,,)",-201.44,-201.952,-2.952,-2.44
"(3,,)",-201.952,-202.3616,-2.952,-2.952
"(3,,)",-2.44,-201.952,-3.3616,-3.3616
"(3,,)",-200.8,-202.68928,-2.952,-2.952
"(3,,)",-2.952,-3.3616,-2.44,-201.952
"(3,,)",-201.952,-202.68928,-2.44,-3.68928
"(3,,)",-3.951424,-201.952,-201.952,-3.68928
"(3,,)",-201.952,-202.68928,-3.68928,-3.3616
"(3,,)",-202.951424,-202.3616,-3.3616,-3.951424
"(3,,)",-202.951424,-202.68928,-3.68928,-3.951424
"(3,,)",-202.68928,-202.951424,-3.951424,-3.951424
"(3,,)",-202.3616,-202.951424,-3.951424,-4.1611392
"(3,,)",-202.68928,-202.3616,-3.951424,-3.951424
"(3,,)",-202.951424,-202.68928,-4.1611392,-3.68928
"(3,,)",-202.951424,-3.951424,-3.3616,-202.68928
"(3,,)",-202.68928,-202.3616,-3.68928,-3.3616
"(3,,)",-202.3616,-2.952,-202.68928,-202.3616
"(3,,)",-202.3616,-202.3616,-3.3616,-3.3616
"(3,,)",-202.3616,-2.952,-202.68928,-201.952
"(3,,)",-201.44,-200.0,-3.3616,-2.44
"(3,,)",-2.952,-201.44,-201.44,-3.3616
"(3,,)",-201.44,-200.8,-3.3616,-2.952
"(3,,)",-202.3616,-201.44,-2.952,-2.44
"(3,,)",-201.952,-201.44,-2.952,-1.8
"(3,,)",-201.44,-3.3616,-2.44,-2.44
"(3,,)",-200.8,-200.8,-2.952,-1.8
"(3,,)",-2.44,-201.44,-2.44,-2.44
"(3,,)",-201.952,-201.952,-1.8,-2.952
"(3,,)",-201.952,-201.44,-2.44,-2.952
"(3,,)",-201.44,-202.3616,-2.952,-2.44
"(3,,)",-3.3616,-202.3616,-2.952,-3.3616
"(3,,)",-202.68928,-202.68928,-3.3616,-3.68928
"(3,,)",-3.951424,-201.952,-3.3616,-3.951424
"(3,,)",-202.68928,-202.3616,-3.68928,-3.951424
"(3,,)",-202.951424,-3.68928,-3.68928,-202.68928
"(3,,)",-361.88928,-202.951424,-3.3616,-202.68928
"(4,,)",-201.44,-201.44,-360.0,-200.0
"(4,,)",-1.8,-2.44,-360.0,0.0
"(4,,)",-2.44,-2.952,-200.0,-2.952
"(4,,)",-2.952,-2.952,-201.952,-201.952
"(4,,)",-2.44,-2.952,-3.3616,-201.952
"(4,,)",-2.952,-2.44,-201.952,-202.3616
"(4,,)",-3.3616,-2.952,-201.952,-201.952
"(4,,)",-2.952,-2.44,-200.8,-201.952
"(4,,)",-3.3616,-201.952,-201.952,-3.3616
"(4,,)",-2.952,-3.3616,-202.68928,-202.3616
"(4,,)",-201.952,-3.68928,-3.3616,-202.68928
"(4,,)",-3.68928,-3.951424,-202.68928,-202.68928
"(4,,)",-3.3616,-202.3616,-202.68928,-202.3616
"(4,,)",-3.68928,-2.952,-202.68928,-202.68928
"(4,,)",-3.951424,-3.3616,-202.3616,-202.951424
"(4,,)",-3.951424,-3.68928,-202.68928,-202.951424
"(4,,)",-3.68928,-3.951424,-202.951424,-202.951424
"(4,,)",-3.951424,-3.68928,-202.68928,-202.68928
"(4,,)",-3.3616,-3.951424,-202.3616,-3.951424
"(4,,)",-3.68928,-3.951424,-202.68928,-202.3616
"(4,,)",-202.68928,-201.952,-3.951424,-2.952
"(4,,)",-3.3616,-2.44,-202.3616,-202.3616
"(4,,)",-202.3616,-2.952,-2.952,-2.952
"(4,,)",-2.952,-2.44,-202.3616,-201.952
"(4,,)",-201.952,-2.44,-2.952,-201.44
"(4,,)",-2.952,-1.8,-200.8,-200.8
"(4,,)",-3.3616,-1.0,-201.44,-201.44
"(4,,)",-2.952,-2.952,-200.8,-201.44
"(4,,)",-2.44,-201.44,-202.3616,-2.952
"(4,,)",-2.952,-2.952,-201.952,-200.8
"(4,,)",-1.0,-2.44,-1.8,-201.44
"(4,,)",-1.8,-1.8,-200.8,-201.952
"(4,,)",-2.44,-2.44,-201.44,-201.44
"(4,,)",-2.44,-2.952,-201.952,-201.952
"(4,,)",-2.952,-3.3616,-201.44,-202.3616
"(4,,)",-2.952,-3.68928,-202.3616,-202.68928
"(4,,)",-3.3616,-201.952,-202.3616,-201.952
"(4,,)",-3.68928,-2.44,-202.68928,-202.3616
"(4,,)",-3.68928,-2.952,-201.952,-3.68928
"(4,,)",-3.951424,-3.3616,-202.3616,-202.951424
"(4,,)",-202.68928,-202.68928,-3.68928,-202.951424
"(5,,)",-360.0,-202.3616,-201.44,-2.44
"(5,,)",-200.0,-2.952,-201.44,-1.8
"(5,,)",-200.8,-201.952,-2.44,-2.952
"(5,,)",-3.3616,-202.3616,-2.44,-2.952
"(5,,)",-201.952,-202.3616,-2.44,-3.3616
"(5,,)",-201.952,-3.3616,-2.952,-2.952
"(5,,)",-202.3616,-201.44,-2.952,-2.44
"(5,,)",-201.952,-2.952,-2.952,-201.952
"(5,,)",-201.952,-201.44,-3.3616,-3.3616
"(5,,)",-3.3616,-201.952,-201.952,-2.952
"(5,,)",-202.3616,-202.3616,-3.3616,-3.951424
"(5,,)",-202.68928,-200.8,-3.68928,-202.3616
"(5,,)",-200.0,-201.952,-3.3616,-2.952
"(5,,)",-202.3616,-2.44,-201.952,-3.3616
"(5,,)",-202.68928,-201.952,-2.952,-3.68928
"(5,,)",-202.951424,-202.68928,-3.3616,-3.951424
"(5,,)",-202.951424,-202.68928,-3.68928,-4.1611392
"(5,,)",-202.3616,-202.3616,-3.951424,-3.951424
"(5,,)",-202.68928,-203.1611392,-3.68928,-4.1611392
"(5,,)",-3.951424,-202.3616,-3.951424,-201.952
"(5,,)",-202.3616,-202.3616,-4.1611392,-2.44
"(5,,)",-2.952,-1.8,-201.952,-2.952
"(5,,)",-202.3616,-201.44,-2.44,-2.44
"(5,,)",-2.952,-201.952,-2.952,-2.44
"(5,,)",-201.952,-201.952,-2.44,-1.8
"(5,,)",-201.44,-201.44,-2.44,-1.0
"(5,,)",-200.8,-200.8,-1.8,-1.8
"(5,,)",-201.44,-200.8,-2.44,-201.44
"(5,,)",-201.44,-201.952,-1.8,-2.44
"(5,,)",-3.3616,-201.44,-201.44,-2.44
"(5,,)",-200.8,-201.44,-2.952,-1.8
"(5,,)",-201.44,-201.44,-1.8,-2.44
"(5,,)",-201.952,-201.952,-1.8,-1.8
"(5,,)",-201.44,-202.3616,-2.44,-3.3616
"(5,,)",-202.3616,-202.3616,-2.952,-3.68928
"(5,,)",-202.3616,-3.68928,-3.3616,-201.952
"(5,,)",-202.68928,-202.3616,-3.68928,-2.44
"(5,,)",-201.952,-2.952,-201.952,-2.952
"(5,,)",-202.3616,-201.44,-2.44,-3.3616
"(5,,)",-3.68928,-202.68928,-2.952,-202.68928
"(5,,)",-202.951424,-362.151424,-3.3616,-202.68928
"(6,,)",-201.44,-202.3616,-202.3616,-2.952
"(6,,)",-2.44,-2.952,-202.3616,-201.952
"(6,,)",-2.44,-3.3616,-2.952,-202.3616
"(6,,)",-2.952,-3.3616,-201.952,-202.3616
"(6,,)",-2.952,-3.68928,-202.3616,-3.3616
"(6,,)",-3.3616,-3.3616,-202.3616,-201.44
"(6,,)",-2.952,-201.952,-3.68928,-2.952
"(6,,)",-3.3616,-2.44,-202.3616,-201.44
"(6,,)",-200.8,-2.952,-1.8,-200.8
"(6,,)",-3.3616,-2.44,-201.44,-202.3616
"(6,,)",-3.68928,-2.952,-201.952,-201.952
"(6,,)",-3.951424,-3.3616,-201.952,-201.44
"(6,,)",-202.3616,-2.952,-200.8,-2.44
"(6,,)",-1.8,-2.952,-201.44,-201.952
"(6,,)",-3.3616,-202.3616,-2.44,-202.68928
"(6,,)",-3.68928,-3.3616,-201.952,-202.68928
"(6,,)",-3.951424,-3.3616,-202.68928,-202.3616
"(6,,)",-3.68928,-2.952,-202.68928,-203.1611392
"(6,,)",-3.951424,-202.3616,-202.3616,-202.951424
"(6,,)",-4.1611392,-3.68928,-203.1611392,-202.3616
"(6,,)",-201.952,-202.3616,-202.951424,-2.952
"(6,,)",-2.44,-2.952,-201.44,-201.44
"(6,,)",-2.952,-2.44,-1.8,-201.44
"(6,,)",-2.44,-2.44,-201.44,-201.952
"(6,,)",-2.44,-2.952,-201.44,-201.44
"(6,,)",-1.8,-2.44,-201.952,-200.8
"(6,,)",-1.0,-1.8,-201.44,-201.44
"(6,,)",-1.8,-1.8,-200.8,-200.0
"(6,,)",-201.44,-2.44,-200.8,-201.44
"(6,,)",-2.44,-2.952,-201.952,-201.952
"(6,,)",-2.44,-201.44,-200.8,-201.44
"(6,,)",-1.8,-2.952,-200.0,-201.952
"(6,,)",-2.44,-202.3616,-201.44,-201.44
"(6,,)",-2.952,-3.3616,-201.952,-202.68928
"(6,,)",-3.3616,-3.68928,-202.3616,-3.68928
"(6,,)",-3.68928,-3.3616,-202.3616,-202.3616
"(6,,)",-201.952,-201.952,-3.68928,-2.952
"(6,,)",-3.3616,-2.44,-200.0,-201.44
"(6,,)",-2.952,-2.952,-1.8,-202.68928
"(6,,)",-3.3616,-3.3616,-201.44,-361.88928
"(6,,)",-202.68928,-202.68928,-202.68928,-361.88928
"(7,,)",-202.3616,-201.952,-202.3616,-2.952
"(7,,)",-2.952,-2.44,-201.952,-3.3616
"(7,,)",-201.952,-202.3616,-2.952,-2.952
"(7,,)",-202.3616,-202.68928,-2.952,-3.68928
